county_name,year,month,birth_count
mcclain,85,12,37
mcclain,86,1,22
mcclain,86,2,22
mcclain,86,3,23
mcclain,86,4,35
mcclain,86,5,35
mcclain,86,6,28
mcclain,86,7,26
mcclain,86,8,19
mcclain,86,9,35
mcclain,86,10,44
mcclain,86,11,28
mcclain,86,12,26
mcclain,87,1,21
mcclain,87,2,20
mcclain,87,3,24
mcclain,87,4,20
mcclain,87,5,22
mcclain,87,6,27
mcclain,87,7,27
mcclain,87,8,21
mcclain,87,9,29
mcclain,87,10,24
mcclain,87,11,24
mcclain,87,12,31
mcclain,88,1,24
mcclain,88,2,20
mcclain,88,3,24
mcclain,88,4,26
mcclain,88,5,25
mcclain,88,6,27
mcclain,88,7,25
mcclain,88,8,30
mcclain,88,9,20
mcclain,88,10,34
mcclain,88,11,24
mcclain,88,12,24
mcclain,89,1,25
mcclain,89,2,27
mcclain,89,3,25
mcclain,89,4,22
mcclain,89,5,23
mcclain,89,6,21
mcclain,89,7,23
mcclain,89,8,22
mcclain,89,9,21
mcclain,89,10,19
mcclain,89,11,14
mcclain,89,12,23
mcclain,90,1,24
mcclain,90,2,32
mcclain,90,3,30
mcclain,90,4,31
mcclain,90,5,22
mcclain,90,6,29
mcclain,90,7,32
mcclain,90,8,30
mcclain,90,9,26
mcclain,90,10,30
mcclain,90,11,16
mcclain,90,12,22
mcclain,91,1,26
mcclain,91,2,32
mcclain,91,3,29
mcclain,91,4,10
mcclain,91,5,38
mcclain,91,6,21
mcclain,91,7,19
mcclain,91,8,23
mcclain,91,9,22
mcclain,91,10,26
mcclain,91,11,32
mcclain,91,12,22
mcclain,92,1,21
mcclain,92,2,21
mcclain,92,3,32
mcclain,92,4,31
mcclain,92,5,29
mcclain,92,6,21
mcclain,92,7,31
mcclain,92,8,27
mcclain,92,9,27
mcclain,92,10,22
mcclain,92,11,19
mcclain,92,12,26
mcclain,93,1,22
mcclain,93,2,28
mcclain,93,3,21
mcclain,93,4,24
mcclain,93,5,24
mcclain,93,6,30
mcclain,93,7,15
mcclain,93,8,34
mcclain,93,9,26
mcclain,93,10,24
mcclain,93,11,18
mcclain,93,12,22
mcclain,94,1,23
mcclain,94,2,24
mcclain,94,3,28
mcclain,94,4,42
mcclain,94,5,32
mcclain,94,6,37
mcclain,94,7,28
mcclain,94,8,38
mcclain,94,9,19
mcclain,94,10,32
mcclain,94,11,18
mcclain,94,12,23
mcclain,95,1,26
mcclain,95,2,25
